run_id,date,turn,stock_code,user_id,direction,executed_price,executed_quantity,fee
simulation_20260610_174248,2025-02-27,13,005930,A077,buy,56300.0,200,1688.9999999999998
simulation_20260610_174248,2025-02-27,13,005930,A006,buy,56300.0,45,380.025
simulation_20260610_174248,2025-02-27,13,005930,A056,buy,56300.0,161,1359.645
simulation_20260610_174248,2025-02-27,13,005930,A088,buy,56300.0,28,236.45999999999998
simulation_20260610_174248,2025-02-27,13,005930,A097,buy,56300.0,1166,9846.869999999999
simulation_20260610_174248,2025-02-27,13,005930,INSTITUTIONAL,sell,56300.0,1635,13807.574999999999
simulation_20260610_174248,2025-02-28,14,005930,A056,buy,54500.0,84,686.6999999999999
simulation_20260610_174248,2025-02-28,14,005930,A077,buy,54500.0,200,1634.9999999999998
simulation_20260610_174248,2025-02-28,14,005930,A050,buy,54500.0,86,703.05
simulation_20260610_174248,2025-02-28,14,005930,A052,buy,54500.0,880,7193.999999999999
simulation_20260610_174248,2025-02-28,14,005930,A053,buy,54500.0,19,155.325
simulation_20260610_174248,2025-02-28,14,005930,INSTITUTIONAL,buy,54500.0,434,3547.95
simulation_20260610_174248,2025-02-28,14,005930,A006,sell,54500.0,1703,13922.025
simulation_20260610_174248,2025-03-04,15,005930,A006,buy,54500.0,100,817.4999999999999
simulation_20260610_174248,2025-03-04,15,005930,INSTITUTIONAL,sell,54500.0,100,817.4999999999999
