run_id,date,turn,stock_code,submitted_orders,closing_price,volume,fill_count
simulation_20260610_174248,2025-02-11,1,005930,8,55700.0,28350,8
simulation_20260610_174248,2025-02-12,2,005930,5,55800.0,2000,5
simulation_20260610_174248,2025-02-13,3,005930,6,55800.0,3544,6
simulation_20260610_174248,2025-02-14,4,005930,4,56000.0,1246,3
simulation_20260610_174248,2025-02-17,5,005930,4,56000.0,600,3
simulation_20260610_174248,2025-02-18,6,005930,6,56900.0,5137,5
simulation_20260610_174248,2025-02-19,7,005930,8,58700.0,6996,7
simulation_20260610_174248,2025-02-20,8,005930,3,58400.0,2037,4
simulation_20260610_174248,2025-02-21,9,005930,4,58200.0,1476,5
simulation_20260610_174248,2025-02-24,10,005930,6,57300.0,2937,6
simulation_20260610_174248,2025-02-25,11,005930,9,57200.0,5296,10
simulation_20260610_174248,2025-02-26,12,005930,8,56600.0,1390,8
simulation_20260610_174248,2025-02-27,13,005930,8,56300.0,1635,7
simulation_20260610_174248,2025-02-28,14,005930,6,54500.0,1703,7
simulation_20260610_174248,2025-03-04,15,005930,7,54500.0,100,2
